method,attribute,stat,value
baseline,positionMag,min,0.24047236118494252910
baseline,positionMag,p5,0.35726758793999741082
baseline,positionMag,p25,0.56811778932663314912
baseline,positionMag,p50,0.76586098221615450665
baseline,positionMag,p75,0.93993301427027620143
baseline,positionMag,p95,1.10833327461628661226
baseline,positionMag,max,1.17525080840299511742
baseline,positionMag,mean,0.75043614500924871180
baseline,positionMag,trueMean,0.75043614500924871180
baseline,positionMag,meanDeviation,0.19582885132945085371
baseline,positionMag,minBits,27.94394300291134314307
baseline,positionMag,p5Bits,28.51507694819392568775
baseline,positionMag,p25Bits,29.18426198826939454989
baseline,positionMag,p50Bits,29.61515444898452642519
baseline,positionMag,p75Bits,29.91062985260910878083
baseline,positionMag,p95Bits,30.14839176588644775734
baseline,positionMag,maxBits,30.23296867518454789092
baseline,positionMag,meanBits,29.50499169075549943386
baseline,positionMag,meanDeviationBits,27.14658045640416972333
baseline,positionMag,columnBits,31.00000000000000000000
baseline,positionMag,varwidthBits,30.25000000000016697754
baseline,positionMag,lzmaBits,8.35200000000000031264
baseline,positionMagTouching,min,0.22773082102929417814
baseline,positionMagTouching,p5,0.34463075425472372570
baseline,positionMagTouching,p25,0.55475186929756736820
baseline,positionMagTouching,p50,0.75377914793238209867
baseline,positionMagTouching,p75,0.92714553196381166433
baseline,positionMagTouching,p95,1.09575752196181630538
baseline,positionMagTouching,max,1.16347350839259844335
baseline,positionMagTouching,mean,0.73760528109810574726
baseline,positionMagTouching,trueMean,0.73760528109810574726
baseline,positionMagTouching,meanDeviation,0.19582363630462204518
baseline,positionMagTouching,minBits,27.86540147556777569093
baseline,positionMagTouching,p5Bits,28.46312336383742547241
baseline,positionMagTouching,p25Bits,29.14991453370708640591
baseline,positionMagTouching,p50Bits,29.59221379443258115316
baseline,positionMagTouching,p75Bits,29.89086772125587998516
baseline,positionMagTouching,p95Bits,30.13192858490589287612
baseline,positionMagTouching,maxBits,30.21843836410944561521
baseline,positionMagTouching,meanBits,29.47678869852934369078
baseline,positionMagTouching,meanDeviationBits,27.14773840755570333272
baseline,positionMagTouching,columnBits,31.00000000000000000000
baseline,positionMagTouching,varwidthBits,30.25000000000016697754
baseline,positionMagTouching,lzmaBits,8.33600000000000029843
baseline,positionTheta,min,1.63381450917193871142
baseline,positionTheta,p5,1.78267993470833974179
baseline,positionTheta,p25,2.07726384403880137697
baseline,positionTheta,p50,2.35220590508326887758
baseline,positionTheta,p75,2.63067999259242757404
baseline,positionTheta,p95,2.92440964420500160159
baseline,positionTheta,max,3.08185479772895387640
baseline,positionTheta,mean,2.35266462370929962944
baseline,positionTheta,trueMean,-2.35266462370929962944
baseline,positionTheta,meanDeviation,0.29534449733945727923
baseline,positionTheta,minBits,30.70824420184303704673
baseline,positionTheta,p5Bits,30.83404770387647175767
baseline,positionTheta,p25Bits,31.05468447328331649260
baseline,positionTheta,p50Bits,31.23401435606175269299
baseline,positionTheta,p75Bits,31.39543576447065120760
baseline,positionTheta,p95Bits,31.54814541558435436741
baseline,positionTheta,maxBits,31.62379889142964728421
baseline,positionTheta,meanBits,31.21786056994284663801
baseline,positionTheta,meanDeviationBits,27.73839679223201315494
baseline,positionTheta,columnBits,32.00000000000000000000
baseline,positionTheta,varwidthBits,32.00000000000002131628
baseline,positionTheta,lzmaBits,8.32799999999999940314
baseline,velocityMag,min,0.06640820779387809902
baseline,velocityMag,p5,0.28680103770780940309
baseline,velocityMag,p25,0.60524171900489243114
baseline,velocityMag,p50,0.89278479852376024795
baseline,velocityMag,p75,1.27484650294554291428
baseline,velocityMag,p95,2.03375349019227558145
baseline,velocityMag,max,3.74681039586957931320
baseline,velocityMag,mean,0.99999999999999977796
baseline,velocityMag,trueMean,0.99999999999999977796
baseline,velocityMag,meanDeviation,0.43669222397852019979
baseline,velocityMag,minBits,26.08750541472848993862
baseline,velocityMag,p5Bits,28.19812215851236203434
baseline,velocityMag,p25Bits,29.27558334477255641559
baseline,velocityMag,p50Bits,29.83638437068271898056
baseline,velocityMag,p75Bits,30.35032355290146099946
baseline,velocityMag,p95Bits,31.02414482307837673147
baseline,velocityMag,maxBits,31.90566297388470573537
baseline,velocityMag,meanBits,29.75480589439057155232
baseline,velocityMag,meanDeviationBits,28.20604771942204891388
baseline,velocityMag,columnBits,32.00000000000000000000
baseline,velocityMag,varwidthBits,30.62500000000003197442
baseline,velocityMag,lzmaBits,8.33600000000000029843
baseline,velocityTheta,min,0.00384630476340354788
baseline,velocityTheta,p5,0.15710690695492879332
baseline,velocityTheta,p25,0.85881463546894765138
baseline,velocityTheta,p50,1.66403650503986288989
baseline,velocityTheta,p75,2.37258603460590489220
baseline,velocityTheta,p95,3.03062657372069033102
baseline,velocityTheta,max,3.14041620172275059986
baseline,velocityTheta,mean,1.62293583851992906375
baseline,velocityTheta,trueMean,-0.03123918227663181890
baseline,velocityTheta,meanDeviation,1.62264936842207085910
baseline,velocityTheta,minBits,21.97768949368049362647
baseline,velocityTheta,p5Bits,27.32981853003304451022
baseline,velocityTheta,p25Bits,29.78041868530064206766
baseline,velocityTheta,p50Bits,30.73468708477075139740
baseline,velocityTheta,p75Bits,31.24646040426890891695
baseline,velocityTheta,p95Bits,31.59961609866018505954
baseline,velocityTheta,maxBits,31.65095577410331983970
baseline,velocityTheta,meanBits,30.29837671420921196841
baseline,velocityTheta,meanDeviationBits,30.30017155091801583922
baseline,velocityTheta,columnBits,32.00000000000000000000
baseline,velocityTheta,varwidthBits,31.49999999999977973175
baseline,velocityTheta,lzmaBits,8.35200000000000031264
baseline,radius,min,0.01165118425850481844
baseline,radius,p5,0.01200131543658539655
baseline,radius,p25,0.01254518653919262094
baseline,radius,p50,0.01290036475891769875
baseline,radius,p75,0.01319605396372926405
baseline,radius,p95,0.01340038651066021574
baseline,radius,max,0.01344367414442863666
baseline,radius,mean,0.01283086391114302005
baseline,radius,trueMean,0.01283086391114302005
baseline,radius,meanDeviation,0.00035751596478716995
baseline,radius,minBits,23.57662064270097701524
baseline,radius,p5Bits,23.61933657912268813561
baseline,radius,p25Bits,23.68327794732198654515
baseline,radius,p50Bits,23.72355587708269553104
baseline,radius,p75Bits,23.75625059662535321081
baseline,radius,p95Bits,23.77841862405176698303
baseline,radius,maxBits,23.78307148941641102624
baseline,radius,meanBits,23.71493394559246681297
baseline,radius,meanDeviationBits,18.05749890066733698291
baseline,radius,columnBits,24.00000000000000000000
baseline,radius,varwidthBits,24.00000000000002131628
baseline,radius,lzmaBits,8.34399999999999941735
baseline,total,minBits,134.45021607727832702039
baseline,total,p5Bits,141.20714496967590889653
baseline,total,p25Bits,143.59516258910286978789
baseline,total,p50Bits,144.75407559519396727410
baseline,total,p75Bits,145.68846993721578542136
baseline,total,p95Bits,146.76321763711740686631
baseline,total,maxBits,147.73383974817457442441
baseline,total,meanBits,144.46276582266440868807
baseline,total,meanDeviationBits,131.44985337079492637713
baseline,total,columnBits,151.00000000000000000000
baseline,total,varwidthBits,148.37500000000002842171
baseline,total,lzmaBits,40.71999999999999886313
delaunay,positionMag,min,0.03654363451030617771
delaunay,positionMag,p5,0.04825918975572879993
delaunay,positionMag,p25,0.05152805111121504938
delaunay,positionMag,p50,0.05581522699090989137
delaunay,positionMag,p75,0.06554243007972720969
delaunay,positionMag,p95,0.08152579484570023072
delaunay,positionMag,max,0.22421845752423869014
delaunay,positionMag,mean,0.06003060990131862951
delaunay,positionMag,trueMean,0.06003060990131862951
delaunay,positionMag,meanDeviation,0.00934101392815559622
delaunay,positionMag,minBits,25.22576401058907791253
delaunay,positionMag,p5Bits,25.62694755963864068349
delaunay,positionMag,p25Bits,25.72150189043162527014
delaunay,positionMag,p50Bits,25.83680261675925393661
delaunay,positionMag,p75Bits,26.06857301508805591084
delaunay,positionMag,p95Bits,26.38340044496090186499
delaunay,positionMag,maxBits,27.84297696188951931617
delaunay,positionMag,meanBits,25.91390753498261645404
delaunay,positionMag,meanDeviationBits,22.73944021233159062945
delaunay,positionMag,columnBits,28.00000000000000000000
delaunay,positionMag,varwidthBits,26.62525527569635031000
delaunay,positionMag,lzmaBits,8.16882232811436281850
delaunay,positionMagTouching,min,0.00000000000000000000
delaunay,positionMagTouching,p5,0.00000000000000009021
delaunay,positionMagTouching,p25,0.00093710184893449483
delaunay,positionMagTouching,p50,0.00478391280082580972
delaunay,positionMagTouching,p75,0.01421778281318993031
delaunay,positionMagTouching,p95,0.03025260813147173655
delaunay,positionMagTouching,max,0.17441560762712607358
delaunay,positionMagTouching,mean,0.00945834510451964983
delaunay,positionMagTouching,trueMean,0.00869098096015282970
delaunay,positionMagTouching,meanDeviation,0.00932309700396590293
delaunay,positionMagTouching,minBits,1.00000000000000000000
delaunay,positionMagTouching,p5Bits,1.00000006986795142438
delaunay,positionMagTouching,p25Bits,19.94049634379039304122
delaunay,positionMagTouching,p50Bits,22.29240736998987415518
delaunay,positionMagTouching,p75Bits,23.86384050119056610129
delaunay,positionMagTouching,p95Bits,24.95320342412115621755
delaunay,positionMagTouching,maxBits,27.48060106636131649793
delaunay,positionMagTouching,meanBits,20.43786777121760422915
delaunay,positionMagTouching,meanDeviationBits,22.73130450619925113642
delaunay,positionMagTouching,columnBits,28.00000000000000000000
delaunay,positionMagTouching,varwidthBits,24.12593601089025341366
delaunay,positionMagTouching,lzmaBits,8.16065350578624837397
delaunay,positionTheta,min,0.00063334131636860747
delaunay,positionTheta,p5,0.10090653423111817233
