method,attribute,stat,value
baseline,positionMag,min,0.23876790706805378628
baseline,positionMag,p5,0.33636573079109471918
baseline,positionMag,p25,0.53779952784475792971
baseline,positionMag,p50,0.80630750691045038892
baseline,positionMag,p75,0.98051020067977801009
baseline,positionMag,p95,1.11829607000961095409
baseline,positionMag,max,1.17546600990291549849
baseline,positionMag,mean,0.76324245967590498285
baseline,positionMag,trueMean,0.76324245967590498285
baseline,positionMag,meanDeviation,0.22261160498617638126
baseline,positionMag,minBits,27.93368085252916444006
baseline,positionMag,p5Bits,28.42810264326024594084
baseline,positionMag,p25Bits,29.10514039872228053696
baseline,positionMag,p50Bits,29.68940206244337431940
baseline,positionMag,p75Bits,29.97160454734115830888
baseline,positionMag,p95Bits,30.16130219611799390123
baseline,positionMag,maxBits,30.23323282451524107728
baseline,positionMag,meanBits,29.51239237040757146247
baseline,positionMag,meanDeviationBits,27.43527728657001318879
baseline,positionMag,columnBits,31.00000000000000000000
baseline,positionMag,varwidthBits,30.25000000000023447910
baseline,positionMag,lzmaBits,8.34399999999999941735
baseline,positionMagTouching,min,0.22624674237685071798
baseline,positionMagTouching,p5,0.32316199230867276304
baseline,positionMagTouching,p25,0.52466991985092903406
baseline,positionMagTouching,p50,0.79300443944159471066
baseline,positionMagTouching,p75,0.96770923485393978147
baseline,positionMagTouching,p95,1.10561642024613737689
baseline,positionMagTouching,max,1.16255808953756090141
baseline,positionMagTouching,mean,0.75038396490615255630
baseline,positionMagTouching,trueMean,0.75038396490615255630
baseline,positionMagTouching,meanDeviation,0.22260712734154711190
baseline,positionMagTouching,minBits,27.85596893663078077452
baseline,positionMagTouching,p5Bits,28.37032944341070361816
baseline,positionMagTouching,p25Bits,29.06948199061750415240
baseline,positionMagTouching,p50Bits,29.66540085102885271340
baseline,positionMagTouching,p75Bits,29.95264553757035841386
baseline,positionMagTouching,p95Bits,30.14485094985377600096
baseline,positionMagTouching,maxBits,30.21730280747320307455
baseline,positionMagTouching,meanBits,29.48381753220246181968
baseline,positionMagTouching,meanDeviationBits,27.43493166341175637513
baseline,positionMagTouching,columnBits,31.00000000000000000000
baseline,positionMagTouching,varwidthBits,30.25000000000023447910
baseline,positionMagTouching,lzmaBits,8.33600000000000029843
baseline,positionTheta,min,1.63412335512137096849
baseline,positionTheta,p5,1.75595595813336502466
baseline,positionTheta,p25,2.01495174665070875264
baseline,positionTheta,p50,2.36544747235516439332
baseline,positionTheta,p75,2.69900219470643154551
baseline,positionTheta,p95,2.96061002629988889723
baseline,positionTheta,max,3.07985071940367971521
baseline,positionTheta,mean,2.35995086131975995158
baseline,positionTheta,trueMean,-2.35995086131975995158
baseline,positionTheta,meanDeviation,0.34145521952367602347
baseline,positionTheta,minBits,30.70851689400486250747
baseline,positionTheta,p5Bits,30.81225666201899571206
baseline,positionTheta,p25Bits,31.01074529135176049977
baseline,positionTheta,p50Bits,31.24211312553914865475
baseline,positionTheta,p75Bits,31.43242615093519276570
baseline,positionTheta,p95Bits,31.56589447110043167299
baseline,positionTheta,maxBits,31.62286042595005142175
baseline,positionTheta,meanBits,31.21846246273032932095
baseline,positionTheta,meanDeviationBits,28.04850894602046906812
baseline,positionTheta,columnBits,32.00000000000000000000
baseline,positionTheta,varwidthBits,32.00000000000002131628
baseline,positionTheta,lzmaBits,8.35200000000000031264
baseline,velocityMag,min,0.50507900451751275295
baseline,velocityMag,p5,0.63756224797584115649
baseline,velocityMag,p25,0.84044789978229750282
baseline,velocityMag,p50,1.02310080322035457101
baseline,velocityMag,p75,1.17154775314919534779
baseline,velocityMag,p95,1.29988466080639586409
baseline,velocityMag,max,1.38986983359144744554
baseline,velocityMag,mean,0.99999999999999888978
baseline,velocityMag,trueMean,0.99999999999999888978
baseline,velocityMag,meanDeviation,0.17480720308603969748
baseline,velocityMag,minBits,29.01458098247732664277
baseline,velocityMag,p5Bits,29.35063811476861417304
baseline,velocityMag,p25Bits,29.74923029641461269534
baseline,velocityMag,p50Bits,30.03294829936331922227
baseline,velocityMag,p75Bits,30.22841576300562493884
baseline,velocityMag,p95Bits,30.37838362019428473104
baseline,velocityMag,maxBits,30.47494977752577227648
baseline,velocityMag,meanBits,29.96654300822088146106
baseline,velocityMag,meanDeviationBits,27.02500633612030611630
baseline,velocityMag,columnBits,31.00000000000000000000
baseline,velocityMag,varwidthBits,30.99999999999954169994
baseline,velocityMag,lzmaBits,8.35200000000000031264
baseline,velocityTheta,min,0.00300193378648249938
baseline,velocityTheta,p5,0.15201401296253291839
baseline,velocityTheta,p25,0.79420475002218537952
baseline,velocityTheta,p50,1.60949757637380841402
baseline,velocityTheta,p75,2.34941655231608814702
baseline,velocityTheta,p95,3.00079358734113466056
baseline,velocityTheta,max,3.13083515367189191281
baseline,velocityTheta,mean,1.57331431400747545624
baseline,velocityTheta,trueMean,0.03104347016759747765
